Module|Category|number|Description
Т2|Получение первоначального доступа к компонентам систем и сетей.|Т2.2.|Т2.2. Использование устройств, датчиков, систем, расположенных на периметре или вне периметра физической защиты объекта, для получения первичного доступа к системам и компонентам внутри этого периметра.
Т2|Получение первоначального доступа к компонентам систем и сетей.|Т2.3.|Т2.3. Эксплуатация уязвимостей сетевого оборудования и средств защиты вычислительных сетей для получения доступа к компонентам систем и сетей при удаленной атаке.
Т2|Получение первоначального доступа к компонентам систем и сетей.|Т2.4.|Т2.4. Использование ошибок конфигурации сетевого оборудования и средств защиты, в том числе слабых паролей и паролей по умолчанию, для получения доступа к компонентам систем и сетей при удаленной атаке
Т2|Получение первоначального доступа к компонентам систем и сетей.|Т2.5.|Т2.5. Эксплуатация уязвимостей компонентов систем и сетей при удаленной или локальной атаке.
Т2|Получение первоначального доступа к компонентам систем и сетей.|Т2.6.|Т2.6. Использование недокументированных возможностей программного обеспечения сервисов, приложений, оборудования, включая использование отладочных интерфейсов, программных, программно-аппаратных закладок
Т2|Получение первоначального доступа к компонентам систем и сетей.|Т2.7.|Т2.7. Использование в системе внешних носителей информации, которые могли подключаться к другим системам и быть заражены вредоносным программным обеспечением. В том числе дарение, подмена или подлог носителей информации и внешних устройств, содержащих вредоносное программное обеспечение или предназначенных для реализации вредоносных функций.
Т2|Получение первоначального доступа к компонентам систем и сетей.|Т2.8.|Т2.8. Использование методов социальной инженерии, в том числе фишинга, для получения прав доступа к компонентам системы
Т2|Получение первоначального доступа к компонентам систем и сетей.|Т2.9.|Т2.9. Несанкционированное подключение внешних устройств.
Т2|Получение первоначального доступа к компонентам систем и сетей.|Т2.10.|"Т2.10. Несанкционированный доступ путем подбора учетных данных сотрудника или легитимного пользователя (методами прямого перебора, словарных атак, паролей производителей по умолчанию, использования одинаковых паролей для разных учетных записей, применения ""радужных"" таблиц или другими)"
Т2|Получение первоначального доступа к компонентам систем и сетей.|Т2.11.|Т2.11. Несанкционированный доступ путем компрометации учетных данных сотрудника организации, в том числе через компрометацию многократно используемого в различных системах пароля (для личных или служебных нужд)
Т2|Получение первоначального доступа к компонентам систем и сетей.|Т2.12.|Т2.12. Использование доступа к системам и сетям, предоставленного сторонним организациям, в том числе через взлом инфраструктуры этих организаций, компрометацию личного оборудования сотрудников сторонних организаций, используемого для доступа.
Т2|Получение первоначального доступа к компонентам систем и сетей.|Т2.13.|"Т2.13. Реализация атаки типа ""человек посередине"" для осуществления доступа, например, NTLM/SMB Relaying атаки"
Т2|Получение первоначального доступа к компонентам систем и сетей.|Т2.14.|Т2.14. Доступ путем эксплуатации недостатков систем биометрической аутентификации.
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях. Тактическая задача: получив доступ к узлу сети или системы, нарушитель стремится внедрить в его программную среду инструментальные средства, необходимые ему для дальнейших действий.|Т3.1.|Т3.1. Автоматический запуск скриптов и исполняемых файлов в системе с использованием пользовательских или системных учетных данных, в том числе с использованием методов социальной инженерии
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях.|Т3.2.|Т3.2. Активация и выполнение вредоносного кода, внедренного в виде закладок в легитимное программное и программное-аппаратное обеспечение систем и сетей
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях.|Т3.3.|Т3.3. Автоматическая загрузка вредоносного кода с удаленного сайта или ресурса с последующим запуском на выполнение
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях.|Т3.4.|Т3.4. Копирование и запуск скриптов и исполняемых файлов через средства удаленного управления операционной системой и сервисами
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях.|Т3.5.|Т3.5. Эксплуатация уязвимостей типа удаленное исполнение программного кода (RCE, Remotecodeexecution)
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях.|Т3.6.|Т3.6. Автоматическое создание вредоносных скриптов при помощи доступного инструментария от имени пользователя в системе с использованием его учетных данных
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях.|Т3.7.|Т3.7. Подмена файлов легитимных программ и библиотек непосредственно в системе. Примечание 3: В том числе может сочетаться с техникой компрометации сертификата, используемого для цифровой подписи образа ПО
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях.|Т3.8.|Т3.8. Подмена легитимных программ и библиотек, а также легитимных обновлений программного обеспечения, поставляемых производителем удаленно через сети связи, в репозиториях поставщика или при передаче через сети связи.
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях.|Т3.9.|Т3.9. Подмена ссылок на легитимные программы и библиотеки, а также на легитимные обновления программного обеспечения, поставляемые производителем удаленно через сети связи, подмена информации о таких обновлениях, включая атаки на инфраструктурные сервисы поставщика (такие как DNS hijacking), атаки на третьесторонние ресурсы, атаки на электронную почту и другие средства обмена сообщениями.
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях.|Т3.10.|Т3.10. Подмена дистрибутивов (установочных комплектов) программ на носителях информации или общих сетевых ресурсах
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях.|Т3.11.|"Т3.11. Компрометация сертификата, используемого для цифровой подписи образа ПО, включая кражу этого сертификата у производителя ПО или покупку краденого сертификата на нелегальных площадках в сетях связи (т.н. ""дарквеб"") и подделку сертификата с помощью эксплуатации уязвимостей ПО, реализующего функции генерирования криптографических ключей, хранения и управления цифровыми сертификатами"
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях.|Т3.12.|Т3.12. Компрометация средств создания программного кода приложений в инфраструктуре разработчика этих приложений (компиляторов, линковщиков, средств управления разработкой) для последующего автоматизированного внесения изменений в этот код, устанавливаемый авторизованным пользователем на целевые для нарушителя системы
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях.|Т3.13.|Т3.13. Компрометация средств сборки, конфигурирования и разворачивания программного кода, а также средств создания узкоспециализированного кода (к примеру, кода промышленных контроллеров) в инфраструктуре целевой системы для автоматизированного внесения изменений в этот код, устанавливаемый авторизованным пользователем на целевые для нарушителя системы
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях.|Т3.14.|Т3.14. Планирование запуска вредоносных программ при старте операционной системы путем эксплуатации стандартных механизмов, в том числе путем правки ключей реестра, отвечающих за автоматический запуск программ, запуска вредоносных программ как сервисов и т.п.
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях.|Т3.15.|Т3.15. Планирование запуска вредоносных программ через планировщиков задач в операционной системе, а также с использованием механизмов планирования выполнения в удаленной системе через удаленный вызов процедур. Выполнение в контексте планировщика в ряде случаев позволяет авторизовать вредоносное программное обеспечение и повысить доступные ему привилегии
Т3|Внедрение и исполнение вредоносного программного обеспечения в системах и сетях.|Т3.16.|Т3.16. Запуск вредоносных программ при помощи легитимных, подписанных цифровой подписью утилит установки приложений и средств запуска скриптов (т.н. техника проксирования запуска), а также через средства запуска кода элементов управления ActiveX, компонентов фильтров (кодеков) и компонентов библиотек DLL.
Т4|Закрепление (сохранение доступа) в системе или сети.|Т4.1.|Т4.1. Несанкционированное создание учетных записей или кража существующих учетных данных
Т4|Закрепление (сохранение доступа) в системе или сети.|Т4.2.|Т4.2. Использование штатных средств удаленного доступа и управления операционной системы
Т4|Закрепление (сохранение доступа) в системе или сети.|Т4.3.|Т4.3. Скрытая установка и запуск средств удаленного доступа и управления операционной системы.
Т4|Закрепление (сохранение доступа) в системе или сети.|Т4.4.|Т4.4. Маскирование подключенных устройств под легитимные (например, нанесение корпоративного логотипа, инвентарного номера, телефона службы поддержки)
Т4|Закрепление (сохранение доступа) в системе или сети.|Т4.5.|Т4.5. Внесение соответствующих записей в реестр, автозагрузку, планировщики заданий, обеспечивающих запуск вредоносного программного обеспечения при перезагрузке системы или сети
Т4|Закрепление (сохранение доступа) в системе или сети.|Т4.6.|Т4.6. Компрометация прошивок устройств с использованием уязвимостей или программно-аппаратных закладок, к примеру, внедрение новых функций в BIOS (UEFI), компрометация прошивок жестких дисков
Т4|Закрепление (сохранение доступа) в системе или сети.|Т4.7.|Т4.7. Резервное копирование вредоносного кода в областях, редко подвергаемых проверке, в том числе заражение резервных копий данных, сохранение образов в неразмеченных областях жестких дисков и сменных носителей
Т5|Управление вредоносным программным обеспечением и (или) компонентами, к которым ранее был получен доступ.|Т5.1.|Т5.1. Удаленное управление через стандартные протоколы (например, RDP, SSH), а также использование инфраструктуры провайдеров средств удаленного администрирования. Пример: использование средств удаленного управления RMS/teamviewer для создания канала связи и управления скомпрометированной системой со стороны злоумышленников
Т5|Управление вредоносным программным обеспечением и (или) компонентами, к которым ранее был получен доступ.|Т5.2.|Т5.2. Использование штатных средств удаленного доступа и управления операционной системы
Т5|Управление вредоносным программным обеспечением и (или) компонентами, к которым ранее был получен доступ.|Т5.3.|Т5.3. Коммуникация с внешними серверами управления через хорошо известные порты на этих серверах, разрешенные на межсетевом экране (SMTP/25, HTTP/80, HTTPS/443 и др.)
Т5|Управление вредоносным программным обеспечением и (или) компонентами, к которым ранее был получен доступ.|Т5.4.|Т5.4. Коммуникация с внешними серверами управления через нестандартные порты на этих серверах, что в некоторых случаях позволяет эксплуатировать уязвимости средств сетевой фильтрации для обхода этих средств
Т5|Управление вредоносным программным обеспечением и (или) компонентами, к которым ранее был получен доступ.|Т5.5.|Т5.5. Управление через съемные носители, в частности, передача команд управления между скомпрометированными изолированной системой и подключенной к Интернет системой через носители информации, используемые на обеих системах
Т5|Управление вредоносным программным обеспечением и (или) компонентами, к которым ранее был получен доступ.|Т5.6.|Т5.6. Проксирование трафика управления для маскировки подозрительной сетевой активности, обхода правил на межсетевом экране и сокрытия адресов инфраструктуры нарушителей, дублирование каналов связи, обфускация и разделение трафика управления во избежание обнаружения.
Т5|Управление вредоносным программным обеспечением и (или) компонентами, к которым ранее был получен доступ.|Т5.7.|Т5.7. Туннелирование трафика управления через VPN
Т5|Управление вредоносным программным обеспечением и (или) компонентами, к которым ранее был получен доступ.|Т5.8.|Т5.8. Туннелирование трафика управления в поля заполнения и данных служебных протоколов, к примеру, туннелирование трафика управления в поля данных и заполнения протоколов DNS, ICMP или другие
Т5|Управление вредоносным программным обеспечением и (или) компонентами, к которым ранее был получен доступ.|Т5.9.|Т5.9. Управление через подключенные устройства, реализующие дополнительный канал связи с внешними системами или между скомпрометированными системами в сети
Т5|Управление вредоносным программным обеспечением и (или) компонентами, к которым ранее был получен доступ.|Т5.10.|Т5.10. Использование средств обфускации, шифрования, стеганографии для сокрытия трафика управления
Т5|Управление вредоносным программным обеспечением и (или) компонентами, к которым ранее был получен доступ.|Т5.11.|Т5.11. Передача команд управления через нестандартно интерпретируемые типовые операции, к примеру, путем выполнения копирования файла по разрешенному протоколу (FTP или подобному), путем управления разделяемыми сетевыми ресурсами по протоколу SMB и т.п.
Т5|Управление вредоносным программным обеспечением и (или) компонентами, к которым ранее был получен доступ.|Т5.12.|Т5.12. Передача команд управления через публикацию на внешнем легитимном сервисе, таком как веб-сайт, облачный ресурс, ресурс в социальной сети и т.п.
Т5|Управление вредоносным программным обеспечением и (или) компонентами, к которым ранее был получен доступ.|Т5.13.|Т5.13. Динамическое изменение адресов серверов управления, идентификаторов внешних сервисов, на которых публикуются команды управления, и т.п. по известному алгоритму во избежание обнаружения
Т6|Повышение привилегий по доступу к компонентам систем и сетей.|Т6.1.|Т6.1. Получение данных для аутентификации и авторизации от имени привилегированной учетной записи путем поиска этих данных в папках и файлах, поиска в памяти или перехвата в сетевом трафике. Данные для авторизации включают пароли, хэш-суммы паролей, токены, идентификаторы сессии, криптографические ключи, но не ограничиваются ими
Т6|Повышение привилегий по доступу к компонентам систем и сетей.|Т6.2.|Т6.2. Подбор пароля или другой информации для аутентификации от имени привилегированной учетной записи
Т6|Повышение привилегий по доступу к компонентам систем и сетей.|Т6.3|Т6.3 Эксплуатация уязвимостей ПО к повышению привилегий.
Т6|Повышение привилегий по доступу к компонентам систем и сетей.|Т6.4.|Т6.4. Эксплуатация уязвимостей механизма имперсонации (запуска операций в системе от имени другой учетной записи).
Т6|Повышение привилегий по доступу к компонентам систем и сетей.|Т6.5.|Т6.5. Манипуляции с идентификатором сессии, токеном доступа или иным параметром, определяющим права и полномочия пользователя в системе таким образом, что новый или измененный идентификатор/токен/параметр дает возможность выполнения ранее недоступных пользователю операций.
Т6|Повышение привилегий по доступу к компонентам систем и сетей.|Т6.6.|Т6.6. Обход политики ограничения пользовательских учетных записей в выполнении групп операций, требующих привилегированного режима.
Т6|Повышение привилегий по доступу к компонентам систем и сетей.|Т6.7.|Т6.7. Использование уязвимостей конфигурации системы, служб и приложений, в том числе предварительно сконфигурированных профилей привилегированных пользователей, автоматически запускаемых от имени привилегированных пользователей скриптов, приложений и экземпляров окружения, позволяющих вредоносному ПО выполняться с повышенными привилегиями.
Т6|Повышение привилегий по доступу к компонентам систем и сетей.|Т6.8.|Т6.8. Эксплуатация уязвимостей, связанных с отдельным, и вероятно менее строгим контролем доступа к некоторым ресурсам (например, к файловой системе) для непривилегированных учетных записей.
Т6|Повышение привилегий по доступу к компонентам систем и сетей.|Т6.9.|Т6.9. Эксплуатация уязвимостей средств ограничения среды исполнения (виртуальные машины, песочницы и т.п.) для исполнения кода вне этой среды.
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.1.|Т7.1. Использование нарушителем или вредоносной платформой штатных инструментов администрирования, утилит и сервисов операционной системы, сторонних утилит, в том числе двойного назначения.
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.2.|Т7.2. Очистка/затирание истории команд и журналов регистрации, перенаправление записей в журналы регистрации, переполнение истории команд и журналов регистрации, затруднение доступа к журналам регистрации для авторизованных пользователей
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.3.|Т7.3. Удаление файлов, переписывание файлов произвольными данными, форматирование съемных носителей
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.4.|Т7.4. Отключение средств защиты от угроз информационной безопасности, в том числе средств антивирусной защиты, механизмов аудита, консолей оператора мониторинга и средств защиты других типов
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.5.|Т7.5. Отключение систем и средств мониторинга и защиты от угроз промышленной, физической, пожарной, экологической, радиационной безопасности, иных видов безопасности автоматизированной системы управления технологическими процессами и управляемого (контролируемого) объекта и (или) процесса
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.6.|Т7.6. Подделка данных вывода средств защиты от угроз информационной безопасности
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.7.|Т7.7. Подделка данных телеметрии, данных вывода автоматизированных систем управления, данных систем и средств мониторинга и защиты от угроз промышленной, физической, пожарной, экологической, радиационной безопасности, иных видов безопасности автоматизированной системы управления технологическими процессами и управляемого (контролируемого) объекта и (или) процесса, данных видеонаблюдения и других визуально или автоматически интерпретируемых данных
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.8.|Т7.8. Выполнение атаки отказа в обслуживании на основные и резервные каналы связи, которые могут использоваться для доставки сообщений о неработоспособности систем или их компонентов или о других признаках атаки
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.9.|Т7.9. Подписание кода, включая использование скомпрометированных сертификатов авторитетных производителей ПО для подписания вредоносных программных модулей.
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.10.|Т7.10. Внедрение вредоносного кода в доверенные процессы операционной системы и другие объекты, которые не подвергаются анализу на наличие такого кода, для предотвращения обнаружения
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.11.|Т7.11. Модификация модулей и конфигурации вредоносного программного обеспечения для затруднения его обнаружения в системе.
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.12.|Т7.12. Манипуляции именами и параметрами запуска процессов и приложений для обеспечения скрытности.
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.13.|Т7.13. Создание скрытых файлов, скрытых учетных записей
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.14.|Т7.14. Установление ложных доверенных отношений, в том числе установка корневых сертификатов для успешной валидации вредоносных программных модулей и авторизации внешних сервисов
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.15.|Т7.15. Внедрение вредоносного кода выборочным/целевым образом на наиболее важные системы или системы, удовлетворяющие определенным критериям, во избежание преждевременной компрометации информации об используемых при атаке уязвимостях и обнаружения факта атаки
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.16.|Т7.16. Искусственное временное ограничение распространения или активации вредоносного кода внутри сети, во избежание преждевременного обнаружения факта атаки.
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.17.|Т7.17. Обфускация, шифрование, упаковка с защитой паролем или сокрытие стеганографическими методами программного кода вредоносного ПО, данных и команд управляющего трафика, в том числе при хранении этого кода и данных в атакуемой системе, при хранении на сетевом ресурсе или при передаче по сети
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.18.|Т7.18. Использование средств виртуализации для сокрытия вредоносного кода или вредоносной активности от средств обнаружения в операционной системе
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.19.|Т7.19. Туннелирование трафика управления через VPN
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.20.|Т7.20. Туннелирование трафика управления в поля заполнения и данных служебных протоколов, к примеру, туннелирование трафика управления в поля данных и заполнения протоколов DNS, ICMP или другие
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.21.|Т7.21. Изменение конфигурации сети, включая изменение конфигурации сетевых устройств, организацию прокси-соединений, изменение таблиц маршрутизации, сброс и модификацию паролей доступа к интерфейсам управления сетевыми устройствами
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.22.|Т7.22. Подмена и компрометация прошивок, в том числе прошивок BIOS, жестких дисков
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.23.|Т7.23. Подмена файлов легитимных программ и библиотек непосредственно в системе.
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.24.|Т7.24. Подмена легитимных программ и библиотек, а также легитимных обновлений программного обеспечения, поставляемых производителем удаленно через сети связи, в репозиториях поставщика или при передаче через сети связи.
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.25.|Т7.25. Подмена ссылок на легитимные программы и библиотеки, а также на легитимные обновления программного обеспечения, поставляемые производителем удаленно через сети связи, информации о таких обновлениях, включая атаки на инфраструктурные сервисы поставщика (такие как DNS hijacking), атаки на третьесторонние ресурсы, атаки на электронную почту и другие средства обмена сообщениями.
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.26.|Т7.26. Подмена дистрибутивов (установочных комплектов) программ на носителях информации или общих сетевых ресурсах.
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.27.|"Т7.27. Компрометация сертификата, используемого для цифровой подписи образа ПО, включая кражу этого сертификата у производителя ПО или покупку краденого сертификата на нелегальных площадках в сетях связи (т.н. ""дарквеб"") и подделку сертификата с помощью эксплуатации уязвимостей ПО, реализующего функции генерирования криптографических ключей, хранения и управления цифровыми сертификатами"
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.28.|Т7.28. Компрометация средств создания программного кода приложений в инфраструктуре разработчика этих приложений (компиляторов, линковщиков, средств управления разработкой) для последующего автоматизированного внесения изменений в этот код, устанавливаемый авторизованным пользователем на целевые для нарушителя системы
Т7|Сокрытие действий и применяемых при этом средств от обнаружения.|Т7.29.|Т7.29. Компрометация средств сборки, конфигурирования и разворачивания программного кода, а также средств создания узкоспециализированного кода (к примеру, кода промышленных контроллеров), в инфраструктуре целевой системы, для автоматизированного внесения изменений в этот код, устанавливаемый авторизованным пользователем на целевые для нарушителя системы
Т8|Получение доступа (распространение доступа) к другим компонентам систем и сетей или смежным системам и сетям. |Т8.1.|Т8.1. Эксплуатация уязвимостей для повышения привилегий в системе или сети для удаленного выполнения программного кода для распространения доступа
Т8|Получение доступа (распространение доступа) к другим компонентам систем и сетей или смежным системам и сетям. |Т8.2.|Т8.2. Использование средств и интерфейсов удаленного управления для получения доступа к смежным системам и сетям
Т8|Получение доступа (распространение доступа) к другим компонентам систем и сетей или смежным системам и сетям. |Т8.3.|Т8.3. Использование механизмов дистанционной установки программного обеспечения и конфигурирования.
Т8|Получение доступа (распространение доступа) к другим компонентам систем и сетей или смежным системам и сетям. |Т8.4.|Т8.4. Удаленное копирование файлов, включая модули вредоносного программного обеспечения и легитимные программные средства, которые позволяют злоумышленнику получать доступ к смежным системам и сетям
Т8|Получение доступа (распространение доступа) к другим компонентам систем и сетей или смежным системам и сетям. |Т8.5.|Т8.5. Изменение конфигурации сети, включая изменение конфигурации сетевых устройств, организацию прокси-соединений, изменение таблиц маршрутизации, сброс и модификацию паролей доступа к интерфейсам управления сетевыми устройствами
Т8|Получение доступа (распространение доступа) к другим компонентам систем и сетей или смежным системам и сетям. |Т8.6.|Т8.6. Копирование вредоносного кода на съемные носители
Т8|Получение доступа (распространение доступа) к другим компонентам систем и сетей или смежным системам и сетям. |Т8.7.|Т8.7. Размещение вредоносных программных модулей на разделяемых сетевых ресурсах в сети
Т8|Получение доступа (распространение доступа) к другим компонентам систем и сетей или смежным системам и сетям. |Т8.8.|Т8.8. Использование доверенных отношений скомпрометированной системы и пользователей этой системы с другими системами и пользователями для распространения вредоносного программного обеспечения или для доступа к системам и информации в других системах и сетях.
Т9|Сбор и вывод из системы или сети информации, необходимой для дальнейших действий при реализации угроз безопасности информации или реализации новых угроз.|Т9.1.|Т9.1. Доступ к системе для сбора информации и вывод информации через стандартные протоколы управления (например, RDP, SSH), а также использование инфраструктуры провайдеров средств удаленного администрирования.
Т9|Сбор и вывод из системы или сети информации, необходимой для дальнейших действий при реализации угроз безопасности информации или реализации новых угроз.|Т9.2.|Т9.2. Доступ к системе для сбора информации и вывод информации через использование штатных средств удаленного доступа и управления операционной системы
Т9|Сбор и вывод из системы или сети информации, необходимой для дальнейших действий при реализации угроз безопасности информации или реализации новых угроз.|Т9.3.|Т9.3. Вывод информации на хорошо известные порты на внешних серверах, разрешенные на межсетевом экране (SMTP/25, HTTP/80, HTTPS/443 и др.)
Т9|Сбор и вывод из системы или сети информации, необходимой для дальнейших действий при реализации угроз безопасности информации или реализации новых угроз.|Т9.4.|Т9.4. Вывод информации на нестандартные порты на внешних серверах, что в некоторых случаях позволяет эксплуатировать уязвимости средств сетевой фильтрации для обхода этих средств
Т9|Сбор и вывод из системы или сети информации, необходимой для дальнейших действий при реализации угроз безопасности информации или реализации новых угроз.|Т9.5.|Т9.5. Отправка данных по известным протоколам управления и передачи данных
Т9|Сбор и вывод из системы или сети информации, необходимой для дальнейших действий при реализации угроз безопасности информации или реализации новых угроз.|Т9.6.|Т9.6. Отправка данных по собственным протоколам
Т9|Сбор и вывод из системы или сети информации, необходимой для дальнейших действий при реализации угроз безопасности информации или реализации новых угроз.|Т9.7.|Т9.7. Проксирование трафика передачи данных для маскировки подозрительной сетевой активности, обхода правил на межсетевом экране и сокрытия адресов инфраструктуры нарушителей, дублирование каналов связи, обфускация и разделение трафика передачи данных во избежание обнаружения.
